url,clicks_6mo,impressions_6mo,avg_position,proposed_tier,topic,proposed_redirect_target
/what-is-methamphetamine/,1.0,4189.0,58.0,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/what-causes-anorexia/,1.0,1945.0,64.0,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/body-dysmorphic-disorder-causes/,1.0,1500.0,54.9,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/what-is-anorexia/,1.0,1088.0,20.8,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/meth-addiction-getting-help/,1.0,719.0,46.5,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/professional-help-anxiety/,1.0,660.0,41.3,C - Redirect/consolidate into new page,Anxiety,/conditions/anxiety/
/anorexia-versus-bulimia/,1.0,584.0,66.5,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/top-5-facts-and-myths-about-eating-disorders/,1.0,584.0,71.3,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/alcohol-awareness-month-for-the-health-of-it/,1.0,436.0,73.3,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/dr-tian-dayton/,1.0,394.0,13.2,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/medical-alcohol-and-drug-detox/,1.0,364.0,7.5,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/transitional-living-after-residential-treatment/,1.0,319.0,12.9,C - Redirect/consolidate into new page,Residential Treatment,/programs/residential-treatment/
/joint-commission/,1.0,258.0,14.8,C - Redirect/consolidate into new page,About/Accreditation,/about/
/help-someone-with-anorexia/,1.0,252.0,72.7,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/experience-detox-residential/,1.0,235.0,14.2,C - Redirect/consolidate into new page,Medical Detox,/programs/medical-detox/
/chemsex-crystal-meth-navigating-recovery-in-west-hollywood/,1.0,220.0,18.2,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/the-new-heroin-why-the-rules-of-recovery-have-changed/,1.0,181.0,35.2,C - Redirect/consolidate into new page,Opioids (heroin absorbed),/what-we-treat/opioids/
/fighting-depression-in-the-summer/,1.0,176.0,25.0,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/anorexia/,1.0,163.0,6.6,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/heroin-the-drug-of-nice-suburban-areas/,1.0,148.0,18.8,C - Redirect/consolidate into new page,Opioids (heroin absorbed),/what-we-treat/opioids/
/coping-patterns-in-complex-trauma-and-addiction/,1.0,143.0,13.3,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/7-signs-of-depression/,1.0,73.0,25.8,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/advantages-alcohol-support-groups/,1.0,69.0,25.8,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/alcohol-anxiety-navigating-dual-diagnosis-treatment-in-west-hollywood/,1.0,63.0,17.1,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/tips-coping-eating-disorder-holidays/,1.0,55.0,78.0,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/heroin-pandemic-help-horizon/,1.0,47.0,11.8,C - Redirect/consolidate into new page,Opioids (heroin absorbed),/what-we-treat/opioids/
/mackenzie-phillips-featured-on-fox-11-los-angeles/,1.0,40.0,10.4,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/what-happens-to-your-body-and-mind-when-you-stop-using-meth-after-chemsex/,1.0,37.0,11.3,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/breathe-life-healing-centers-employment-application/,1.0,35.0,11.1,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/5-absolute-important-steps-take-relapse/,1.0,28.0,11.1,C - Redirect/consolidate into new page,Relapse/Alumni,/programs/alumni-program/
/five-alive-qa-with-jed-hastings/,1.0,9.0,6.0,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/breathe-awarded-accreditation-joint-commission/,1.0,8.0,3.8,C - Redirect/consolidate into new page,About/Accreditation,/about/
/look-for-drug-intervention-specialist/,0.0,3781.0,43.3,C - Redirect/consolidate into new page,Family/Intervention,/admissions/for-families/
/support-groups-for-family-members-of-drug-addicts/,0.0,3532.0,83.2,C - Redirect/consolidate into new page,For Families,/admissions/for-families/
/what-is-ocd/,0.0,1668.0,6.1,C - Redirect/consolidate into new page,OCD (no direct page - route to Anxiety),/conditions/anxiety/
/what-is-body-dysmorphic-disorder/,0.0,1485.0,65.0,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/what-does-dual-diagnosis-mean/,0.0,1229.0,73.6,C - Redirect/consolidate into new page,Dual Diagnosis,/conditions/dual-diagnosis/
/overcome-alcohol-withdrawal/,0.0,1094.0,21.7,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/crystal-meth-addiction-treatment-in-los-angeles/,0.0,896.0,80.4,C - Redirect/consolidate into new page,Methamphetamine,/what-we-treat/methamphetamine/
/ptsd-treatment-in-los-angeles-integrating-trauma-therapy-with-addiction-recovery/,0.0,770.0,48.9,C - Redirect/consolidate into new page,Trauma/PTSD,/conditions/trauma/
/strategies-complex-trauma/,0.0,701.0,18.7,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/what-is-obsessive-compulsive-disorder/,0.0,317.0,49.0,C - Redirect/consolidate into new page,OCD (no direct page - route to Anxiety),/conditions/anxiety/
/addicted-alcohol-problem/,0.0,295.0,32.1,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/from-detox-to-recovery-in-los-angeles-the-role-of-addiction-treatment-centers/,0.0,273.0,21.5,C - Redirect/consolidate into new page,Medical Detox,/programs/medical-detox/
/body-dysmorphic-disorder-treatment/,0.0,271.0,56.8,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/smoking-booze-get-outa-town/,0.0,210.0,5.9,C - Redirect/consolidate into new page,Nicotine/smoking (no direct page - route to hub),/what-we-treat/
/los-angeles-holistic-recovery-overcoij-ming-fentanyl-and-kratom-addiction-beyond-detox/,0.0,189.0,16.0,C - Redirect/consolidate into new page,Opioids,/what-we-treat/opioids/
/notice-of-privacy-practices/,0.0,188.0,17.4,C - Redirect/consolidate into new page,Admissions/Legal utility,/admissions/
/sober-living-home-can-benefit-your-recovery/,0.0,146.0,40.3,C - Redirect/consolidate into new page,Sober Living,/programs/sober-living/
/ptsd-and-substance-use-why-trauma-and-addiction-are-often-connected/,0.0,145.0,37.9,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/how-complex-trauma-impacts-our-sense-of-self-safety/,0.0,119.0,7.3,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/terms-of-use/,0.0,94.0,37.2,C - Redirect/consolidate into new page,Admissions/Legal utility,/admissions/
/bulimia/,0.0,91.0,8.5,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/one-year-anniversary/,0.0,76.0,21.1,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/the-whole-person-approach-why-holistic-alcohol-rehab-is-taking-over-los-angeles/,0.0,69.0,22.3,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/depression-and-addiction/,0.0,68.0,16.2,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/heroin-breakthrough-need-money/,0.0,66.0,43.9,C - Redirect/consolidate into new page,Opioids (heroin absorbed),/what-we-treat/opioids/
/how-breathe-life-healing-centers-in-los-angeles-supports-long-term-sobriety-after-detox/,0.0,58.0,9.4,C - Redirect/consolidate into new page,Medical Detox,/programs/medical-detox/
/medication-assisted-treatment-for-long-term-stability/,0.0,56.0,10.9,C - Redirect/consolidate into new page,MAT,/programs/medication-assisted-treatment/
/confidentiality-form/,0.0,47.0,8.6,C - Redirect/consolidate into new page,Admissions/Legal utility,/admissions/
/breathe-weho-treatment-services-earns-joint-commissions-gold-seal-approval/,0.0,35.0,10.3,C - Redirect/consolidate into new page,About/Accreditation,/about/
/food-addiction-in-america/,0.0,31.0,17.6,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/do-i-have-complex-trauma/,0.0,30.0,15.8,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/dual-diagnosis-relationship-substance-abuse-mental-illness/,0.0,25.0,18.6,C - Redirect/consolidate into new page,Dual Diagnosis,/conditions/dual-diagnosis/
/depression-in-college-students/,0.0,22.0,13.2,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/motivators-western-diet/,0.0,20.0,22.8,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/how-to-choose-the-right-drug-detox-center-in-los-angeles/,0.0,20.0,29.9,C - Redirect/consolidate into new page,Medical Detox,/programs/medical-detox/
/vaping-illness-syndrome/,0.0,17.0,7.7,C - Redirect/consolidate into new page,Nicotine/smoking (no direct page - route to hub),/what-we-treat/
/residential-treatment-for-substance-addiction/,0.0,14.0,3.2,C - Redirect/consolidate into new page,Residential Treatment,/programs/residential-treatment/
/php-vs-iop-understanding-different-levels-of-addiction-treatment/,0.0,12.0,6.2,C - Redirect/consolidate into new page,IOP,/programs/intensive-outpatient/
/dual-diagnosis-treatment-program/,0.0,12.0,11.3,C - Redirect/consolidate into new page,Dual Diagnosis,/conditions/dual-diagnosis/
/detox-increase-quit/,0.0,12.0,26.1,C - Redirect/consolidate into new page,Medical Detox,/programs/medical-detox/
/numbing-the-pain-the-link-between-heroin-and-unresolved-trauma/,0.0,10.0,8.9,C - Redirect/consolidate into new page,Opioids (heroin absorbed),/what-we-treat/opioids/
/teen-depression-symptoms-causes/,0.0,10.0,26.3,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/pain-meds-xanax-anxiety/,0.0,6.0,6.8,C - Redirect/consolidate into new page,Opioids,/what-we-treat/opioids/
/helping-the-addict-healing-the-family/,0.0,5.0,4.2,C - Redirect/consolidate into new page,For Families,/admissions/for-families/
/post-acute-withdrawal-syndrome-in-los-angeles-managing-recovery-after-detox/,0.0,5.0,5.0,C - Redirect/consolidate into new page,Medical Detox,/programs/medical-detox/
/dual-diagnosis-substance-abuse-and-mental-illness/,0.0,5.0,6.2,C - Redirect/consolidate into new page,Dual Diagnosis,/conditions/dual-diagnosis/
/benefits-of-depression-screening/,0.0,5.0,7.4,C - Redirect/consolidate into new page,Depression,/conditions/depression/
/medication-assisted-treatment-mat/,0.0,4.0,7.8,C - Redirect/consolidate into new page,MAT,/programs/medication-assisted-treatment/
/obesity-the-world-is-literally-round/,0.0,4.0,18.2,C - Redirect/consolidate into new page,Eating Disorders (food/diet),/what-we-treat/eating-disorders/
/alcohol-drug-addiction-treatment/,0.0,4.0,24.5,C - Redirect/consolidate into new page,Alcohol,/what-we-treat/alcohol/
/post-traumatic-stress-disorder-ptsd/,0.0,4.0,35.2,C - Redirect/consolidate into new page,Trauma/PTSD,/conditions/trauma/
/trauma-and-addiction/,0.0,3.0,10.0,C - Redirect/consolidate into new page,Complex Trauma,/conditions/complex-trauma/
/heroin-deaths-twice-bad/,0.0,3.0,29.3,C - Redirect/consolidate into new page,Opioids (heroin absorbed),/what-we-treat/opioids/
/bulimia-treatment-in-los-angeles-pathways-to-a-healthier-you/,0.0,3.0,29.7,C - Redirect/consolidate into new page,Eating Disorders,/what-we-treat/eating-disorders/
/how-families-can-support-a-loved-one-in-addiction-treatment/,0.0,2.0,6.0,C - Redirect/consolidate into new page,For Families,/admissions/for-families/
/mackenzie-phillips-joins-addiction-counselor/,0.0,1.0,1.0,C - Redirect/consolidate into new page,Company news/PR/Team,/resources/media/
/faq/,0.0,1.0,10.0,C - Redirect/consolidate into new page,Admissions/Legal utility,/admissions/
/how-our-residential-rehab-can-help-you/,0.0,1.0,12.0,C - Redirect/consolidate into new page,Residential Treatment,/programs/residential-treatment/
/most-addictive-substances/,13.0,2162.0,22.0,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/internal-family-systems-and-its-role-in-restoring-balance/,10.0,2410.0,11.8,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/finding-freedom-through-the-dance-of-liberation/,10.0,888.0,6.7,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/phillip-seymour-hoffman-dead-actor-dies-46/,7.0,52850.0,2.6,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/michael-phelps/,7.0,2160.0,10.2,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/robin-williams-fame-self-shame/,7.0,1092.0,13.3,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/7-triggering-situations-recovering-addicts-avoid/,5.0,349.0,11.9,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/man-weighed-530lbs-reveals-lost-half-body-weight/,5.0,160.0,7.8,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/josh-duggars-rehab-welcome-to-the-dark-ages/,5.0,155.0,12.1,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/love-addict-love-avoidant-a-match-made-in-hell/,4.0,589.0,18.5,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/alumni-support/,2.0,82.0,14.9,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/melissa-mccracken-speaks-at-cma2020/,2.0,60.0,13.7,D - Redirect to homepage (off-topic/no value),Company news/PR/Team,/resources/media/
/risks-of-untreated-adhd/,1.0,3082.0,50.5,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/good-golly-molly/,1.0,1226.0,9.7,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/newsnight-debate-between-matthew-perry-and-peter-hitchens/,1.0,1203.0,8.9,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/5-things-cheaper-drug-screening/,1.0,1130.0,24.1,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/when-its-time-to-tell-the-family-about-your-addiction/,1.0,842.0,79.2,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/best-anger-management-strategies/,1.0,686.0,34.8,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/from-survival-mode-to-stability-how-the-body-heals-in-treatment/,1.0,335.0,7.6,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/sugar-blows/,1.0,134.0,7.3,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/safe-from-self-harm/,1.0,113.0,47.4,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/failure-to-launch/,1.0,93.0,27.2,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/educated-eating-diets-designed-fail-2/,1.0,9.0,29.3,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/coping-vs-avoiding-pain/,0.0,420.0,9.8,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/healing-experiential-therapies/,0.0,309.0,31.9,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/alliance-with-experience-recovery/,0.0,200.0,8.3,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/hit-snooze-button-taking-nap-always-lazy/,0.0,190.0,9.1,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
/caffeine-overdose/,0.0,131.0,17.3,D - Redirect to homepage (off-topic/no value),Uncategorized/off-topic,/
